21.09 13:20:11 | хабар: 5/6 манзилга етди
21.09 14:49:41 | бугун 15:00 да дарс йўқ
21.09 15:22:14 | цикл тугади
21.09 15:22:26 | бот таърифи ва буйруқлар рўйхати янгиланди
21.09 15:22:27 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
21.09 16:19:43 | эслатма: 16:30 (10 дақиқа қолди, 1 дарс)
21.09 16:19:44 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
21.09 16:19:44 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
21.09 16:19:48 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
21.09 16:19:51 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
21.09 16:19:57 | хабар: 5/6 манзилга етди
21.09 18:00:03 | kech хабари: 2026-09-22 (7 дарс)
21.09 18:00:04 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
21.09 18:00:04 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
21.09 18:00:08 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
21.09 18:00:11 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
21.09 18:00:17 | хабар: 5/6 манзилга етди
21.09 20:52:54 | цикл тугади
21.09 20:53:05 | бот таърифи ва буйруқлар рўйхати янгиланди
21.09 20:53:06 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
22.09 02:23:29 | цикл тугади
22.09 02:23:46 | бот таърифи ва буйруқлар рўйхати янгиланди
22.09 02:23:47 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
22.09 07:53:56 | цикл тугади
22.09 07:54:10 | бот таърифи ва буйруқлар рўйхати янгиланди
22.09 07:54:11 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
22.09 08:00:18 | erta хабари: 2026-09-22 (7 дарс)
22.09 08:00:18 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 08:00:19 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 08:00:22 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 08:00:25 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 08:00:31 | хабар: 5/6 манзилга етди
